Bolag;Koncept;Kommentar;Butiks nr;Namn;Butik / Enhet;Företag;Enhet;Organisationsnummer;Franchise;Gatuadress;Postnr;Postadress;Email-adress Butiks-/SM-chef;Butikschef (BC);Telefon butik;BC Telefon;Mobil;Direktör Försäljning;Försäljningschef;Marknadsområde;Distriktschef (DC);Distrikt;K Ställe;Namn2;Gamla butiksnummer;Säljplan;Säk, kval & Arbetsmiljö samordnare;Kommun;HR Generalist;Bemanningsspecialist;Site-ID
Coop Östra;Coop;;56030;Motala Linden;Coop Linden Motala;0005;01;556030-5921;;Källgatan 1;591 35;Motala;LindenMotala.bc@coop.se;Helena Johansson ;010-743 50 60;010-743 50 61;073-802 47 06;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056030;Motala Linden;;Coop;Anna Fredberg;Motala;;Josefine Wiberg Malmström;1155
Coop Östra;Coop;;56020;Lägerhyddan;Coop Lägerhyddan;0005;01;556030-5921;;Rekrytgatan 5;582 14;Linköping;Lagerhyddan.bc@coop.se;Camilla Hjelte;010-741 50 80;010-741 50 81;072-709 81 89;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056020;Lägerhyddan;;Coop  ;Marie Elg;Linköping;;Josefine Wiberg Malmström;1154
Coop Östra;Coop;;185380;Malmköping;Coop Malmköping;0005;01;556030-5921;;Källgatan 8;642 60;Malmköping;Malmkoping.bc@coop.se;Thomas Nyström;010-741 44 60;010-741 44 61;072-724 10 10;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;185380;Malmköping;;Coop  ;Anna Fredberg;Flen;;Jessica Carlsson;1462
Coop Östra;Coop;;16018;Mariatorget;Coop Mariatorget;5003;27;556684-6860;x;Hornsgatan 54;118 21;Stockholm;Mariatorget.bc@coop.se;Danko Ilic;010-741 79 60;010-741 79 61;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016018;Mariatorget;;Coop Närhandel  ;Joakim Ytterström;Stockholm;My Jonsson;Elin Kronqvist;1028
Coop Östra;Coop;;186489;Mariefred;Coop Mariefred;0005;01;556030-5921;;Ruddammsgatan 2;647 30;Mariefred;Mariefred.bc@coop.se;Caroline Hellkvist;010-741 43 70;010-741 43 71;072-724 10 48;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186489;Mariefred;;Coop  ;Anna Fredberg;Strängnäs;;Jessica Carlsson;1468
Coop Östra;Coop;;16730;Matboden;Coop Matboden;0005;01;556030-5921;;Ektorpsvägen 4;131 42 ;Nacka;matboden.bc@coop.se;Susanne Engelbrektsson;010-743 50 80;010-743 50 81;0707267973;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016730;Matboden;;;Michael Sandelin;Nacka;My Jonsson;Elin Kronqvist;1780
Coop Östra;Coop;;16032;Medborgarplatsen ;Coop Medborgarplatsen;0005;01;556030-5921;;Fatburstrappan 18;118 26;Stockholm;medborgarplatsen.bc@coop.se;Aynur Arras;010-741 88 60;010-741 88 61;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016032;Medborgarplatsen ;;Coop  ;Michael Sandelin;Stockholm;Mikaela Norrman;Anna Rydmark;1040
Coop Östra;Coop;;15040;Midsommarkransen ;Coop Midsommarkransen;5003;82;559246-4688;x;Svandammsvägen 20;126 34;Hägersten;Midsommarkransen.bc@coop.se;Madelen Sjögren/Linn Fagerholm;010-741 11 73;010-741 11 71;076-178 88 78;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;015040;Midsommarkransen ;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1002
Coop Östra;Coop Mini;;16991;Mini Gåvsta;Coop Mini Gåvsta;0005;01;556030-5921;;Rasbo Prästgård;755 96;Uppsala;bolanderna.bc@coop.se;Peter Tägtström;010-741 28 20;010-741 28 21;;Kerim Nielsen;Samir Radjai;Fygitala;;Fygitala;016991;Mini Gåvsta;;;Mikaela Norrman;Uppsala;Alla;;1781
Coop Östra;Coop MIni;;16992;Mini Haninge;Coop Mini Haninge;0005;01;556030-5921;;Nynäsvägen 21;136 47 ;Handen;cfhandensmc@coop.se;Anders Westny;010-741 70 00;;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;016992;Mini Haninge;;;Mikaela Norrman;Haninge;;;1783
Coop Östra;Coop Mini;;16990;Mini Täby Park;Coop Mini Täby Park;0005;01;556030-5921;;Parkallén 3;183 79;Täby;danderyd.bc@coop.se;Johan Karlsson;010-741 90 00;;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;016990;Mini Täby Park;;;Joakim Ytterström;Täby;Mikaela Norrman;;1768
Coop Östra;Coop ;;16042;Minneberg;Coop Minneberg;5003;60;556704-3848;x;Svartviksslingan 98;167 39;Bromma;Minneberg.bc@coop.se;John Mildén;010-741 74 30;010-741 74 31;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016042;Minneberg;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1047
Coop Östra;Coop;;56210;Mjölby;Coop Mjölby;0005;01;556030-5921;;Hallevadsgatan 2;595 35;Mjölby;mjolby.bc@coop.se;Sandra Jönsson;010-746 41 30;010-746 41 31;076 798 23 51;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056210;Mjölby;216572;Coop;Anna Fredberg;Mjölby;;Josefine Wiberg Malmström;4176
Coop Östra;Coop ;;16297;Mälarhöjden;Coop Mälarhöjden;5003;88;559368-1462;x;Hägerstensvägen 331;129 41;Hägersten;Malarhojden.bc@coop.se;Andreas Schramm Rönnlund;010-741 75 30;010-741 75 31;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016297;Mälarhöjden;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1087
Coop Östra;Coop;;16157;Norra Djurgårdsstaden ;Coop Norra Djurgårdsstaden;0005;01;556030-5921;;Bobergsgatan 53;115 47 ;Stockholm;djurgardsstaden.bc@coop.se;Terese Wirström;010-741 66 30;;076-128 95 89;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016157;Norra Djurgårdsstaden ;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1067
Coop Östra;Coop;;16020;Norrtull;Coop Norrtull;0005;01;556030-5921;;Vanadisvägen 13;113  46;Stockholm;norrtull.bc@coop.se;Moa Eriksson;010-741 87 80;010-741 87 81;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016020;Norrtull;;Coop Närhandel  ;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1030
Coop Östra;Coop ;;15210;Nynäshamn;Coop Nynäshamn;5002;18;559246-5727;x;Centralgatan 11;149 32;Nynäshamn;Nynashamn.bc@coop.se;Niklas Tyni;010-741 74 50;010-741 74 51;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;015210;Nynäshamn;;Coop  ;Joakim Ytterström;Nynäshamn;Mikaela Norrman;Jessica Carlsson;1007
Coop Östra;Coop;;16401;Nytorgsgatan;Coop Nytorgsgatan;5002;05;559456-0871;x;Nytorgsgatan 25;116 40;Stockholm;Nytorgsgatan.bc@coop.se;Johnny Johansson Rova;010-741 81 10;010-741 81 11;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016401;Nytorgsgatan;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Elin Kronqvist;1088
Coop Östra;Coop;;16115;Odengatan;Coop Odengatan;0005;01;556030-5921;;Odengatan 31;113 51;Stockholm;Odengatan.bc@coop.se;Aleksandar Andric;010-741 81 60;010-741 81 61;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016115;Odengatan;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1059
Coop Östra;Coop;;15010;Odenplan;Coop Odenplan;0005;01;556030-5921;;Odengatan 65;113 22;Stockholm;Odenplan.bc@coop.se;Petra Stenbeck;010-741 17 20;010-741 17 21;070-278 60 14;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;015010;Odenplan;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1001
Coop Östra;Online ;;730117;Coop Online Eskilstuna;Coop Online Eskilstuna;0005;01;556030-5921;;Albertina Nyströms väg 2;632 22;Eskilstuna;eskilstuna.online@coop.se;tf Josefin Jansson;010-741 46 39;;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;730117;Coop Online Eskilstuna;;;Anna Fredberg;Eskilstuna;;Josefine Wiberg Malmström;#SAKNAS!
Coop Östra;Coop;;56231;Oxelösund;Coop Oxelösund;0005;01;556030-5921;;Torggatan;613 30;Oxelösund;oxelosund.bc@coop.se;Linnea Johansson;010-746 45 90;010-746 45 91;076-798 23 69;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056231;Oxelösund;216618;Coop;Joakim Ytterström;Oxelösund;;Josefine Wiberg Malmström;4208
Coop Östra;Coop ;;16296;Reimersholme;Coop Reimersholme;0005;01;556030-5921;;Reimersholmsgatan 35;117 40;Stockholm;Reimersholme.bc@coop.se;Tf Morteza Rezaye;010-741 79 80;010-741 79 81;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016296;Reimersholme;;Coop Närhandel;Michael Sandelin;Stockholm;Mikaela Norrman;Anna Rydmark;1086
Coop Östra;Coop ;;16037;Renstiernasgata ;Coop Renstiernasgata;5002;05;559456-0871;x;Renstiernasgatan 27;116 31;Stockholm;renstiernasgata.bc@coop.se;Johnny Johansson Rova;010-745 01 50;010-745 01 51; ;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016037;Renstiernasgata ;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Elin Kronqvist;1043
Coop Östra;Coop;;16177;Ribby;Coop Ribby;5002;34;559545–5642;X;Åkervägen 2 A;137 41;Västerhaninge;Ribby.bc@coop.se;Stefan Johansson;010-741 77 61;;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016177;Ribby;;Coop Närhandel;Joakim Ytterström;Haninge;Mikaela Norrman;Jessica Carlsson;1071
Coop Östra;Coop;;35450;Rimbo;Coop Rimbo;5002;11;556858-6969;x;Köpmannagatan 6-8;762 31;Rimbo;Rimbo.bc@coop.se;Jim Johansson;010-741 24 20;010-741 24 21;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;035450;Rimbo;;Coop  ;Mikaela Norrman;Rimbo;Jenny Halldin;Anna Rydmark;1129
Coop Östra;Coop ;;36917;Ringgatan ;Coop Ringgatan;5002;77;556797-8613;x;Ringgatan 31;752 17;Uppsala;Ringgatan.bc@coop.se;Roger Dahlberg;010-741 25 90;010-741 25 91;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036917;Ringgatan ;;Coop Närhandel;Joakim Ytterström;Uppsala;Jenny Halldin;Anna Rydmark;1137
Coop Östra;Coop;;16083;Rådhuset;Coop Rådhuset;0005;01;556030-5921;;Kungsholmsgatan 22;112 27;Stockholm;Radhuset.bc@coop.se;Kenneth Wall;010-741 82 60;010-741 82 61;073- 614 08 10;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016083;Rådhuset;;Coop Närhandel  ;Marie Elg;Stockholm;Mikaela Norrman;Anna Rydmark;1053
Coop Östra;Coop;;16188;Råsundavägen;Coop Råsundavägen;5002;27;556030-5921;;Råsundavägen 163;169 36;Solna;Rasundavagen.bc@coop.se;Tf Moa Eriksson;010-741 72 40;010-741 72 45;070 718 71 18;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016188;Råsundavägen;;Coop Närhandel;Mikaela Norrman;Solna Stad;Jenny Halldin;Elin Kronqvist;1074
Coop Östra;Coop;;25750;Rönninge;Coop Rönninge;5003;70;559216-8107;x;Rönninge torg 7;144 61;Rönninge;Ronninge.bc@coop.se;Ninni Larsson;010-741 83 50;010-741 83 51;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;025750;Rönninge;;Coop  ;Joakim Ytterström;Salem;My Jonsson;Jessica Carlsson;1095
Coop Östra;Coop;;56000;Saluhallen Norrköping;Coop Saluhallen Norrköping;0005;01;556030-5921;;Hospitalsgatan 26;602 27;Norrköping;Saluhallen.bc@coop.se;Sarah Gustavsson;010-741 48 90;010-741 48 91;076 144 08 33;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056000;Saluhallen Norrköping;;Coop  ;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1150
Coop Östra;Coop ;;56072;Skarphagen;Coop Skarphagen;0005;01;556030-5921;;Skarphagsgatan 29;603 64;Norrköping;Skarphagen.bc@coop.se;Anna Lindebring;010-741 48 60;010 741 48 61;072-709 83 07;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056072;Skarphagen;;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1156
Coop Östra;Coop;;16013;Skarpnäck ;Coop Skarpnäck;5002;32;559523-7750;x;Pilotgatan 18;128 32;Skarpnäck;Skarpnack.bc@coop.se;Jonny Rösäter;010-741 74 00;010-741 74 01;072-717 58 28;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016013;Skarpnäck ;;Coop Närhandel;Joakim Ytterström;Stockholm;Mikaela Norrman;Jessica Carlsson;1025
Coop Östra;Coop;;16025;Skeppet;Coop Skeppet ;0005;01;556030-5921;;Friggavägen 26;181 21;Lidingö;lidingo.bc@coop.se;Joakim Andersson;010-741 93 00;010-741 93 01;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016025;Skeppet;;Coop  ;Marie Elg;Lidingö;Jenny Halldin;Anna Rydmark;1033
Coop Östra;Coop ;;186457;Skogstorp  ;Coop Skogstorp;5002;47;556766-8503;x;Rosenforsvägen 9;633 69;Skogstorp;Skogstorp.bc@coop.se;Mikael Söderström;010-741 45 90;010-741 45 91;072-709 84 59;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186457;Skogstorp  ;;Coop Närhandel;Anna Fredberg;Eskilstuna;;Jessica Carlsson;1466
Coop Östra;Coop;;16130;Sockenplan;Coop Sockenplan;0005;01;556030-5921;;Enskedevägen 89;122 38;Enskede;Sockenplan.bc@coop.se;Magnus Hillborg;010-741 79 30;010-741 79 31;076 126 51 62;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016130;Sockenplan;;Coop Närhandel;Joakim Ytterström;Stockholm;Mikaela Norrman;Jessica Carlsson;1061
Coop Östra;Coop;;16225;Spånga Torg ;Coop Spånga Torg;0005;01;556030-5921;;Värsta Allé 4;163 53;Spånga;SpangaTorg.bc@coop.se;Tf Nemanja Stankovic;010-741 77 32;010-741 77 31;072-037 29 48;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016225;Spånga Torg ;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Elin Kronqvist;1079
Coop Östra;Coop ;;16172;Spångavägen ;Coop Spångavägen;5003;80;556949-7844;x;Spångavägen 311;163 46;Spånga;Spangavagen.bc@coop.se;Ulrika Andersson ;010-741 73 90;010-741 73 91;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016172;Spångavägen ;;Coop Närhandel;Mikaela Norrman;Järfälla;Jenny Halldin;Elin Kronqvist;1069
Coop Östra;Coop;;16783;Spångbro;Coop Spångbro;5002;06;556659-6259;x;Spångbro;148 70;Sorunda;Spangbro.bc@coop.se;Helen Andersson;010-741 91  90;;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016783;Spångbro;;Coop Närhandel  ;Joakim Ytterström;Nynäshamn;Mikaela Norrman;Jessica Carlsson;1091
Coop Östra;Coop  ;;16144;Stamgatan ;Coop Stamgatan;5002;25;559553-2119;x;Stamgatan 4;125 74;Älvsjö;Stamgatan.bc@coop.se;Theodor Liljestrand;010-741 77 50;;070-5725176;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016144;Stamgatan ;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1065
Coop Östra;Coop;;55500;Stenbärsvägen Nyköping;Coop Stenbärsvägen Nyköping;0005;01;556030-5921;;Stenbärsvägen 8;611 38;Nyköping;nykoping.bc@coop.se;Felicia Cedgren;010-741 48 10;010-741 48 11;070-294 01 28;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;055500;Stenbärsvägen Nyköping;;Coop ;Marie Elg;Nyköping;My Jonsson;Jessica Carlsson;1149
Coop Östra;Coop;;56215;Stockholmsvägen ;Coop Stockholmsvägen;0005;01;556030-5921;;Stockholmsvägen 52;602 17;Norrköping;stockholmsvagen.bc@coop.se;Emilia Schilling;010-746 42 90;010-746 42 91;072-468 51 49;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056215;Stockholmsvägen ;216588;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;4236
Coop Östra;Coop;;16110;Storgatan;Coop Storgatan;5003;33;556680-6161;x;Storgatan 27;114 55;Stockholm;Storgatan.bc@coop.se;Christian Hansson/Patrik Tvärnstedt;010-741 81 20;010-741 81 21;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016110;Storgatan;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1058
Coop Östra;Coop ;;16005;Storsjövägen;Coop Storsjövägen;5003;93;559540-1794;x;Siljanvägen 66;120 59;Årsta;storsjovagen.bc@coop.se;Tf Maximillian Fischer;010-741 79 40;010-741 79 41;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016005;Storsjövägen;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1022
Coop Östra;Coop ;;36927;Storvreta ;Coop Storvreta;5003;96;559020-5877;x;Ärentunavägen 10;743 30;Stovreta;Storvreta.bc@coop.se;Sebouh Marachlian;010-741 26 80;010-741 26 81;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036927;Storvreta ;;Coop  ;Joakim Ytterström;Uppsala;Jenny Halldin;Anna Rydmark;1139
Coop Östra;Coop ;;36905;Sunnersta ;Coop Sunnersta;5002;02;559443-5835;x;Sunnerstavägen 40;756 51;Uppsala;Sunnersta.bc@coop.se;Tore Byekwaso;010-741 24 90;010-741 24 92;073-268 27 90;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036905;Sunnersta ;;Coop Närhandel;Mikaela Norrman;Uppsala;Jenny Halldin;Anna Rydmark;1134
Coop Östra;Coop;;16264;Svandammsplan;Coop Svandammsplan;5003;67;559222-5451;x;Svandammsplan 4;126 37;Hägersten;Svandammsplan.bc@coop.se;Hakob Grigoryan;010-741 77 42;;070-734 63 51;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016264;Svandammsplan;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1083
Coop Östra;Coop;;183500;Sveaplan Eskilstuna;Coop Sveaplan Eskilstuna;0005;01;556030-5921;;Lundbladsvägen 6, Box 6044;630 06;Eskilstuna;Sveaplan.bc@coop.se;Anna Nagrell;010-741 46 60;010-741 46 61;072-709 84 22;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;183500;Sveaplan Eskilstuna;;Coop;Anna Fredberg;Eskilstuna;;Jessica Carlsson;1453
Coop Östra;Coop;;16260;Sveavägen;Coop Sveavägen;0005;01;556030-5921;;Sveavägen 70;111 34;Stockholm;Sveavagen.bc@coop.se;Linda Alm;010-741 83 70;010-741 83 71;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016260;Sveavägen;;Coop Närhandel;Michael Sandelin;Stockholm;Jenny Halldin;Anna Rydmark;1082
Coop Östra;Coop ;;16140;Södertälje C   ;Coop Södertälje C;0005;01;556030-5921;;Storgatan 3-5;151 72;Södertälje;SodertaljeC.bc@coop.se;Linda Engstrand;010-741 78 47;010-741 78 41;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016140;Södertälje C   ;;Coop  ;Marie Elg;Södertälje;My Jonsson;Jessica Carlsson;1063
Coop Östra;Coop;;16011;Södra Station;Coop Södra Station;0005;01;556030-5921;;Swedenborgsgatan 21;118 27;Stockholm;SodraStation.bc@coop.se;Elisabet Silow;010-741 79 90;010-741 79 94;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016011;Södra Station;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1024
Coop Östra;Coop ;;26821;Tibble ;Coop Tibble;5003;03;559151-3428;x;Hjortronvägen 119;196 35;Kungsängen;Tibble.bc@coop.se;Zohreh Tehrani  ;010-741 68 80;010-741 68 81;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;026821;Tibble ;;Coop Närhandel  ;Mikaela Norrman;Upplands Bro;Jenny Halldin;Elin Kronqvist;1109
Coop Östra;Coop;;16086;Tomtebogatan;Coop Tomtebogatan;5002;29;559388-1914;x;Tomtebogatan 6;113 39;Stockholm;Tomtebogatan.bc@coop.se;Jesper di Corsi;010-741 81 51;;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016086;Tomtebogatan;;Coop Närhandel  ;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1054
Coop Östra;Coop ;;16026;Tranebergsvägen;Coop Tranebergsvägen;5003;60;556704-3848;x;Tranebergsvägen 126;167 45;Bromma;Tranebergsvagen.bc@coop.se;John Mildén;010-741 70 90;010-741 70 92;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016026;Tranebergsvägen;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1034
Coop Östra;Coop;;186401;Triangeln Eskilstuna;Coop Triangeln Eskilstuna;0005;01;556030-5921;;Fridhemsgatan 1-3;633 58;Eskilstuna;TriangelnEskilstuna.bc@coop.se;Alejandro Valderas;010-741 46 00;010-741 46 01;072-709 84 53;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186401;Triangeln Eskilstuna;;Coop  ;Anna Fredberg;Eskilstuna;;Jessica Carlsson;1465
Coop Östra;Coop;;55250;Trosa  ;Coop Trosa;5002;22;559306-2499;x;Torget;619 30;Trosa;Trosa.bc@coop.se;Adam Löfman;010-741 46 90;010-741 46 91;072-709 84 18;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;055250;Trosa  ;;Coop  ;Joakim Ytterström;Trosa;;Josefine Wiberg Malmström;1147
Coop Östra;Coop;;56090;Trozelligatan;Coop Trozelligatan;0005;01;556030-5921;;Trozelligatan 14;602 35;Norrköping;Trozelligatan.bc@coop.se;Dilan Dogan;010-741 48 72;010-741 48 72;072-709 83 05;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056090;Trozelligatan;;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1159
Coop Östra;Coop ;;15280;Tungelsta  ;Coop Tungelsta;5002;09;559245-4028;x;Allévägen 7 B;137 56;Tungelsta;Tungelsta.bc@coop.se;Mona Nordvall;010-741 76 80;010-741 76 84;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;015280;Tungelsta  ;;Coop  ;Joakim Ytterström;Haninge;Mikaela Norrman;Jessica Carlsson;1010
Coop Östra;Coop ;;30760;Tyresö Centrum;Coop Tyresö Centrum;0005;01;556030-5921;;Marknadsgränd 25;135 40;Tyresö;TyresoC.bc@coop.se;Robert Eliasson;010-741 86 30;010-741 86 31;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;030760;Tyresö Centrum;;Coop ;Marie Elg;Tyresö;My Jonsson;Jessica Carlsson;1123
Coop Östra;Coop;;30770;Tyresö Strand ;Coop Tyresö Strand;0005;01;556030-5921;;Strandtorget 2;135 63;Tyresö;tyresostrand.bc@coop.se;Tf Tommy Lundgren;010-741 92 53;010-741 92 51;070-519 88 02;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;030770;Tyresö Strand ;;Coop Närhandel;Joakim Ytterström;Tyresö;Mikaela Norrman;Jessica Carlsson;1124
Coop Östra;Coop;;56228;Tystberga;Coop Tystberga;5002;15;559577-1410;x;Stationsvägen 12;611 74;Tystberga;Tystberga.bc@coop.se;Alexander Chakias;010-741 48 40;010-741 48 41;072-709 83 14;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056228;Tystberga;;Coop Närhandel;Joakim Ytterström;Nyköping;;Josefine Wiberg Malmström;1164
Coop Östra;Coop;;56212;Ullstämma;Coop Ullstämma;0005;01;556030-5921;;Bronsåldersgatan 2;589 51 ;Linköping;ullstamma.bc@coop.se;Emina Hercegovac;010-746 42 60;;070-267 32 64;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056212;Ullstämma;216585;Coop   ;Marie Elg;Linköping;;Josefine Wiberg Malmström;4210
Coop Östra;Coop;;55300;Vadstena;Coop Vadstena;5003;40;559189-3507;x;Rådhustorget 2-4;592 30;Vadstena;Vadstena.bc@coop.se;Robert Pihl;010-741 51 90;010-741 51 91;072-709 82 15;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;055300;Vadstena;;Coop  ;Anna Fredberg;Vadstena;;Josefine Wiberg Malmström;1148
Coop Östra;Coop ;;56019;Vallaplan;Coop Vallaplan;5002;79;559368-1645;x;Malmslättsvägen;582 46;Linköping;Vallaplan.bc@coop.se;Marcus Rinnermark;010-741 50 70 ;010-741 50 71;072-709 81 92;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056019;Vallaplan;;Coop Närhandel;Marie Elg;Linköping;;Josefine Wiberg Malmström;1153
Coop Östra;Coop ;;16159;Vasalund;Coop Vasalund;0005;01;556030-5921;;Södra Långgatan 27;169 59;Solna;Vasalund.bc@coop.se;Tf Sebastian Nilsson;010-741 71 90;010-741 71 91;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016159;Vasalund;;Coop Närhandel;Joakim Ytterström;Solna Stad;My Jonsson;Elin Kronqvist;1068
